nome,url
diario_oficial_do_municipio_de_boa_vista_dom-bvb,Diário Oficial do Município de Boa Vista (DOM-BVB)
diario_oficial_do_municipio_de_camacari_dom-camacari,Diário Oficial do Município de Camaçari (DOM-CAMACARI)
diario_oficial_do_municipio_de_campinas_dom-camp,Diário Oficial do Município de Campinas (DOM-CAMP)
diario_oficial_do_municipio_de_campo_grande_dom-campog,Diário Oficial do Município de Campo Grande (DOM-CAMPOG)
diario_oficial_do_municipio_de_campos_dos_goytacazes_dom-goy-rj,Diário Oficial do Município de Campos dos Goytacazes (DOM-GOY-RJ)
diario_oficial_do_municipio_de_caxias_do_sul_dom-cxs,Diário Oficial do Município de Caxias do Sul (DOM-CXS)
diario_oficial_do_municipio_de_curitiba_dom-ctba,Diário Oficial do Município de Curitiba (DOM-CTBA)
diario_oficial_do_municipio_de_duque_de_caxias_dom-dcs,Diário Oficial do Município de Duque de Caxias (DOM-DCS)
diario_oficial_do_municipio_de_florianopolis_dom-fln-sc,Diário Oficial do Município de Florianópolis (DOM-FLN-SC)
diario_oficial_do_municipio_de_fortaleza_dom-for,Diário Oficial do Município de Fortaleza (DOM-FOR)
diario_oficial_do_municipio_de_goiania_dom-gyn,Diário Oficial do Município de Goiânia (DOM-GYN)
diario_oficial_do_municipio_de_guarulhos_dom-gru,Diário Oficial do Município de Guarulhos (DOM-GRU)
diario_oficial_do_municipio_de_joao_pessoa_dom-jpa,Diário Oficial do Município de João Pessoa (DOM-JPA)
diario_oficial_do_municipio_de_macapa_dom-macapa,Diário Oficial do Município de Macapá (DOM-MACAPA)
diario_oficial_do_municipio_de_maceio_dom-maceio,Diário Oficial do Município de Maceió (DOM-MACEIO)
diario_oficial_do_municipio_de_manaus_dom-manaus,Diário Oficial do Município de Manaus (DOM-MANAUS)
diario_oficial_do_municipio_de_marilia_dom-mar,Diário Oficial do Município de Marília (DOM-MAR)
diario_oficial_do_municipio_de_natal_dom-natal,Diário Oficial do Município de Natal (DOM-NATAL)
diario_oficial_do_municipio_de_osasco_dom-osasco,Diário Oficial do Município de Osasco (DOM-OSASCO)
diario_oficial_do_municipio_de_palmas_dom-pmw,Diário Oficial do Município de Palmas (DOM-PMW)
diario_oficial_do_municipio_de_ponta_pora_dom-pmg-ms,Diário Oficial do Município de Ponta Porã (DOM-PMG-MS)
diario_oficial_do_municipio_de_porto_alegre_dom-poa,Diário Oficial do Município de Porto Alegre (DOM-POA)
diario_oficial_do_municipio_de_porto_velho_dom-pvh,Diário Oficial do Município de Porto Velho (DOM-PVH)
diario_oficial_do_municipio_de_salvador_dom-ssa,Diário Oficial do Município de Salvador (DOM-SSA)
diario_oficial_do_municipio_de_santos_dom-santos,Diário Oficial do Município de Santos (DOM-SANTOS)
diario_oficial_do_municipio_de_sorocaba_dom-sod-sp,Diário Oficial do Município de Sorocaba (DOM-SOD-SP)
diario_oficial_do_municipio_de_sao_bernardo_do_campo_dom-sbc,Diário Oficial do Município de São Bernardo do Campo (DOM-SBC)
diario_oficial_do_municipio_de_sao_goncalo_dom-qsd-rj,Diário Oficial do Município de São Gonçalo (DOM-QSD-RJ)
diario_oficial_do_municipio_de_sao_luis_dom-slz,Diário Oficial do Município de São Luís (DOM-SLZ)
diario_oficial_do_municipio_de_sao_paulo_dom-sp,Diário Oficial do Município de São Paulo (DOM-SP)
diario_oficial_do_municipio_de_teresina_dom-the,Diário Oficial do Município de Teresina (DOM-THE)
diario_oficial_do_municipio_de_uberaba_dom-ubera,Diário Oficial do Município de Uberaba (DOM-UBERA)
diario_oficial_do_municipio_de_uberlandia_dom-uberl,Diário Oficial do Município de Uberlândia (DOM-UBERL)
diario_oficial_do_municipio_de_vitoria_dom-vix,Diário Oficial do Município de Vitória (DOM-VIX)
